author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309279612/;Москва;rent;flat;6;6;1;16.0;41900;0;Вешняки;аллея Первой Маевки;15с1;Вешняки
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/308958419/;Москва;rent;flat;1;5;1;58.0;250000;0;Арбат;Поварская ;29/36С1;Баррикадная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309490162/;Москва;rent;flat;10;27;1;27.0;85000;0;Лефортово; Крузенштерна;12к2;Авиамоторная
Медведица;real_estate_agent;https://www.cian.ru/rent/flat/309586057/;Москва;rent;flat;12;22;1;40.0;70000;0;Люблино;Тихая ;4;Люблино
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309206572/;Москва;rent;flat;3;9;2;58.0;140000;0;Тверской;Тверская ;8К2;Пушкинская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/304568691/;Москва;rent;flat;6;9;2;62.0;360000;0;Тверской;1-я Тверская-Ямская ;2;Маяковская
;;https://www.cian.ru/rent/flat/309402586/;Москва;rent;flat;4;15;1;27.5;60000;0;;проспект Магеллана;4;Прокшино
Михаил Малышев;realtor;https://www.cian.ru/rent/flat/309471833/;Москва;rent;flat;29;29;2;37.0;80000;0;Южнопортовый;Волгоградский проспект;32/5к3;Угрешская
ИП Боброва Е. И.;real_estate_agent;https://www.cian.ru/rent/flat/309698389/;Москва;rent;flat;3;9;2;40.0;60000;0;Хорошево-Мневники;Карамышевская набережная;32/2;Народное Ополчение
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309463342/;Москва;rent;flat;11;14;1;17.9;36800;0;;проспект Куприна;30к9;Потапово
ID 91109179;real_estate_agent;https://www.cian.ru/rent/flat/294458860/;Москва;rent;flat;28;78;2;60.0;230000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/308453965/;Москва;rent;flat;2;6;2;59.7;495000;0;Замоскворечье; Малая Ордынка;19;Третьяковская
ID 80061374;realtor;https://www.cian.ru/rent/flat/309244214/;Москва;rent;flat;24;24;1;29.0;87000;0;Даниловский;проспект Андропова;10;Технопарк
ID 52443511;realtor;https://www.cian.ru/rent/flat/309687417/;Москва;rent;flat;10;25;2;70.0;95000;0;Чертаново Южное;Варшавское шоссе;141к10;Аннино
